Дата; Курс євро ;;
23.11.2015; 25,63 ₴ ;;
24.11.2015; 25,58 ₴ ;;
25.11.2015; 25,51 ₴ ;;
26.11.2015; 25,16 ₴ ;;
27.11.2015; 25,04 ₴ ;;
28.11.2015; 25,04 ₴ ;;
29.11.2015; 25,04 ₴ ;;
30.11.2015; 25,27 ₴ ;;
01.12.2015; 25,33 ₴ ;;
02.12.2015; 25,27 ₴ ;;
03.12.2015; 25,09 ₴ ;;
04.12.2015; 24,64 ₴ ;;
05.12.2015; 24,64 ₴ ;;
06.12.2015; 24,64 ₴ ;;
07.12.2015; 25,78 ₴ ;;
08.12.2015; 25,35 ₴ ;;
09.12.2015; 24,92 ₴ ;;
10.12.2015; 25,05 ₴ ;;
11.12.2015; 25,57 ₴ ;;
12.12.2015; 25,57 ₴ ;;
13.12.2015; 25,57 ₴ ;;
14.12.2015; 26,13 ₴ ;;
15.12.2015; 26,15 ₴ ;;
16.12.2015; 25,77 ₴ ;;
17.12.2015; 25,71 ₴ ;;
18.12.2015; 25,46 ₴ ;;
19.12.2015; 25,46 ₴ ;;
20.12.2015; 25,46 ₴ ;;
21.12.2015; 25,51 ₴ ;;
22.12.2015; 25,56 ₴ ;;
23.12.2015; 25,35 ₴ ;;
24.12.2015; 25,10 ₴ ;;
25.12.2015; 25,14 ₴ ;;
26.12.2015; 25,14 ₴ ;;
27.12.2015; 25,14 ₴ ;;
28.12.2015; 25,33 ₴ ;;
29.12.2015; 26,10 ₴ ;;
30.12.2015; 26,06 ₴ ;;
31.12.2015; 26,22 ₴ ;;
01.01.2016; 26,22 ₴ ;;
02.01.2016; 26,22 ₴ ;;
03.01.2016; 26,22 ₴ ;;
04.01.2016; 26,22 ₴ ;;
05.01.2016; 26,22 ₴ ;;
06.01.2016; 25,56 ₴ ;;
07.01.2016; 25,56 ₴ ;;
08.01.2016; 25,56 ₴ ;;
09.01.2016; 25,56 ₴ ;;
10.01.2016; 25,56 ₴ ;;
11.01.2016; 25,25 ₴ ;;
12.01.2016; 25,59 ₴ ;;
13.01.2016; 25,21 ₴ ;;
14.01.2016; 25,57 ₴ ;;
15.01.2016; 26,09 ₴ ;;
16.01.2016; 26,40 ₴ ;;
17.01.2016; 26,40 ₴ ;;
18.01.2016; 26,61 ₴ ;;
19.01.2016; 26,83 ₴ ;;
20.01.2016; 27,00 ₴ ;;
21.01.2016; 26,90 ₴ ;;
22.01.2016; 26,71 ₴ ;;
23.01.2016; 26,71 ₴ ;;
24.01.2016; 26,71 ₴ ;;
25.01.2016; 26,80 ₴ ;;
26.01.2016; 26,85 ₴ ;;
27.01.2016; 26,93 ₴ ;;
28.01.2016; 27,08 ₴ ;;
29.01.2016; 27,42 ₴ ;;
30.01.2016; 27,42 ₴ ;;
31.01.2016; 27,42 ₴ ;;
01.02.2016; 27,91 ₴ ;;
02.02.2016; 27,70 ₴ ;;
03.02.2016; 28,25 ₴ ;;
04.02.2016; 28,10 ₴ ;;
05.02.2016; 29,02 ₴ ;;
06.02.2016; 29,02 ₴ ;;
07.02.2016; 29,02 ₴ ;;
08.02.2016; 29,03 ₴ ;;
09.02.2016; 28,73 ₴ ;;
10.02.2016; 29,15 ₴ ;;
11.02.2016; 29,20 ₴ ;;
12.02.2016; 29,60 ₴ ;;
13.02.2016; 29,60 ₴ ;;
14.02.2016; 29,60 ₴ ;;
15.02.2016; 29,48 ₴ ;;
16.02.2016; 29,98 ₴ ;;
17.02.2016; 30,17 ₴ ;;
18.02.2016; 29,76 ₴ ;;
19.02.2016; 29,33 ₴ ;;
20.02.2016; 29,33 ₴ ;;
21.02.2016; 29,33 ₴ ;;
22.02.2016; 29,80 ₴ ;;
23.02.2016; 29,79 ₴ ;;
24.02.2016; 29,96 ₴ ;;
25.02.2016; 29,89 ₴ ;;
26.02.2016; 30,05 ₴ ;;
27.02.2016; 30,05 ₴ ;;
28.02.2016; 30,05 ₴ ;;
29.02.2016; 29,78 ₴ ;;
01.03.2016; 29,50 ₴ ;;
02.03.2016; 29,45 ₴ ;;
03.03.2016; 29,11 ₴ ;;
04.03.2016; 28,58 ₴ ;;
05.03.2016; 28,58 ₴ ;;
06.03.2016; 28,58 ₴ ;;
07.03.2016; 28,58 ₴ ;;
08.03.2016; 28,58 ₴ ;;
09.03.2016; 29,07 ₴ ;;
10.03.2016; 28,73 ₴ ;;
11.03.2016; 27,71 ₴ ;;
12.03.2016; 28,66 ₴ ;;
13.03.2016; 28,66 ₴ ;;
14.03.2016; 28,86 ₴ ;;
15.03.2016; 29,48 ₴ ;;
16.03.2016; 29,87 ₴ ;;
17.03.2016; 29,70 ₴ ;;
18.03.2016; 30,20 ₴ ;;
19.03.2016; 30,20 ₴ ;;
20.03.2016; 30,20 ₴ ;;
21.03.2016; 29,60 ₴ ;;
22.03.2016; 29,98 ₴ ;;
23.03.2016; 29,27 ₴ ;;
24.03.2016; 29,06 ₴ ;;
25.03.2016; 29,28 ₴ ;;
26.03.2016; 29,28 ₴ ;;
27.03.2016; 29,28 ₴ ;;
28.03.2016; 29,08 ₴ ;;
29.03.2016; 29,31 ₴ ;;
30.03.2016; 29,60 ₴ ;;
31.03.2016; 29,69 ₴ ;;
01.04.2016; 29,85 ₴ ;;
02.04.2016; 29,85 ₴ ;;
03.04.2016; 29,85 ₴ ;;
04.04.2016; 29,85 ₴ ;;
05.04.2016; 29,58 ₴ ;;
06.04.2016; 29,64 ₴ ;;
07.04.2016; 29,43 ₴ ;;
08.04.2016; 29,32 ₴ ;;
09.04.2016; 29,32 ₴ ;;
10.04.2016; 29,32 ₴ ;;
11.04.2016; 29,12 ₴ ;;
12.04.2016; 29,12 ₴ ;;
13.04.2016; 29,12 ₴ ;;
14.04.2016; 28,79 ₴ ;;
15.04.2016; 28,86 ₴ ;;
16.04.2016; 28,86 ₴ ;;
17.04.2016; 28,86 ₴ ;;
18.04.2016; 28,75 ₴ ;;
19.04.2016; 28,81 ₴ ;;
20.04.2016; 28,86 ₴ ;;
21.04.2016; 28,92 ₴ ;;
22.04.2016; 28,81 ₴ ;;
23.04.2016; 28,81 ₴ ;;
24.04.2016; 28,81 ₴ ;;
25.04.2016; 28,54 ₴ ;;
26.04.2016; 28,54 ₴ ;;
27.04.2016; 28,56 ₴ ;;
28.04.2016; 28,50 ₴ ;;
29.04.2016; 28,61 ₴ ;;
30.04.2016; 28,61 ₴ ;;
01.05.2016; 28,61 ₴ ;;
02.05.2016; 28,61 ₴ ;;
03.05.2016; 28,61 ₴ ;;
04.05.2016; 28,74 ₴ ;;
05.05.2016; 28,99 ₴ ;;
06.05.2016; 28,74 ₴ ;;
07.05.2016; 28,74 ₴ ;;
08.05.2016; 28,74 ₴ ;;
09.05.2016; 28,75 ₴ ;;
10.05.2016; 28,75 ₴ ;;
11.05.2016; 28,66 ₴ ;;
12.05.2016; 28,89 ₴ ;;
13.05.2016; 28,83 ₴ ;;
14.05.2016; 28,83 ₴ ;;
15.05.2016; 28,83 ₴ ;;
16.05.2016; 28,88 ₴ ;;
17.05.2016; 28,76 ₴ ;;
18.05.2016; 28,60 ₴ ;;
19.05.2016; 28,49 ₴ ;;
20.05.2016; 28,28 ₴ ;;
21.05.2016; 28,28 ₴ ;;
22.05.2016; 28,28 ₴ ;;
23.05.2016; 28,27 ₴ ;;
24.05.2016; 28,18 ₴ ;;
25.05.2016; 28,07 ₴ ;;
26.05.2016; 27,99 ₴ ;;
27.05.2016; 28,03 ₴ ;;
28.05.2016; 28,03 ₴ ;;
29.05.2016; 28,03 ₴ ;;
30.05.2016; 28,07 ₴ ;;
31.05.2016; 28,03 ₴ ;;
01.06.2016; 28,04 ₴ ;;
02.06.2016; 28,04 ₴ ;;
03.06.2016; 28,03 ₴ ;;
04.06.2016; 28,03 ₴ ;;
05.06.2016; 28,03 ₴ ;;
06.06.2016; 27,89 ₴ ;;
07.06.2016; 28,36 ₴ ;;
08.06.2016; 28,33 ₴ ;;
09.06.2016; 28,38 ₴ ;;
10.06.2016; 28,36 ₴ ;;
11.06.2016; 28,36 ₴ ;;
12.06.2016; 28,36 ₴ ;;
13.06.2016; 28,28 ₴ ;;
14.06.2016; 28,13 ₴ ;;
15.06.2016; 27,97 ₴ ;;
16.06.2016; 27,95 ₴ ;;
17.06.2016; 27,83 ₴ ;;
18.06.2016; 27,83 ₴ ;;
19.06.2016; 27,83 ₴ ;;
20.06.2016; 27,83 ₴ ;;
21.06.2016; 28,03 ₴ ;;
22.06.2016; 28,16 ₴ ;;
23.06.2016; 28,09 ₴ ;;
24.06.2016; 28,34 ₴ ;;
25.06.2016; 28,34 ₴ ;;
26.06.2016; 28,34 ₴ ;;
27.06.2016; 28,34 ₴ ;;
28.06.2016; 28,34 ₴ ;;
29.06.2016; 27,52 ₴ ;;
30.06.2016; 27,56 ₴ ;;
01.07.2016; 27,56 ₴ ;;
02.07.2016; 27,64 ₴ ;;
03.07.2016; 27,64 ₴ ;;
04.07.2016; 27,64 ₴ ;;
05.07.2016; 27,64 ₴ ;;
06.07.2016; 27,69 ₴ ;;
07.07.2016; 27,50 ₴ ;;
08.07.2016; 27,49 ₴ ;;
09.07.2016; 27,49 ₴ ;;
10.07.2016; 27,49 ₴ ;;
11.07.2016; 27,49 ₴ ;;
12.07.2016; 27,46 ₴ ;;
13.07.2016; 27,55 ₴ ;;
14.07.2016; 27,48 ₴ ;;
15.07.2016; 27,67 ₴ ;;
16.07.2016; 27,67 ₴ ;;
17.07.2016; 27,67 ₴ ;;
18.07.2016; 27,61 ₴ ;;
19.07.2016; 27,47 ₴ ;;
20.07.2016; 27,38 ₴ ;;
21.07.2016; 27,33 ₴ ;;
22.07.2016; 27,33 ₴ ;;
23.07.2016; 27,33 ₴ ;;
24.07.2016; 27,33 ₴ ;;
25.07.2016; 27,33 ₴ ;;
26.07.2016; 27,22 ₴ ;;
