Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
23.11.15; 5 000,00 ? ; 7 391,00 ? ; 12 000,00 ? ; 24,06 ? 
24.11.15; 5 000,00 ? ; 7 396,00 ? ; 12 000,00 ? ; 24,06 ? 
25.11.15; 5 000,00 ? ; 7 402,00 ? ; 12 000,00 ? ;  
26.11.15; 5 000,00 ? ; 7 407,00 ? ; 12 000,00 ? ; 23,60 ? 
27.11.15; 5 000,00 ? ; 7 412,00 ? ; 12 000,00 ? ; 23,88 ? 
28.11.15; 5 000,00 ? ; 7 418,00 ? ; 12 000,00 ? ; 23,88 ? 
29.11.15; 5 000,00 ? ; 7 424,00 ? ; 12 000,00 ? ; 23,88 ? 
30.11.15; 5 000,00 ? ; 7 429,00 ? ; 12 000,00 ? ; 23,95 ? 
01.12.15; 5 000,00 ? ; 7 439,00 ? ; 12 000,00 ? ; 23,84 ? 
02.12.15; 5 000,00 ? ; 7 448,00 ? ; 12 000,00 ? ; 23,65 ? 
03.12.15; 5 000,00 ? ; 7 456,00 ? ; 12 000,00 ? ; 23,09 ? 
04.12.15; 5 000,00 ? ; 7 463,00 ? ; 12 000,00 ? ; 23,65 ? 
05.12.15; 5 000,00 ? ; 7 472,00 ? ; 12 004,00 ? ; 23,65 ? 
06.12.15; 5 001,00 ? ; 7 483,00 ? ; 12 013,00 ? ; 23,65 ? 
07.12.15; 5 004,00 ? ; 7 495,00 ? ; 12 027,00 ? ; 23,45 ? 
08.12.15; 5 009,00 ? ; 7 509,00 ? ; 12 044,00 ? ; 22,91 ? 
09.12.15; 5 017,00 ? ; 7 525,00 ? ; 12 067,00 ? ; 22,89 ? 
10.12.15; 5 027,00 ? ; 7 541,00 ? ; 12 092,00 ? ; 23,37 ? 
11.12.15; 5 039,00 ? ; 7 560,00 ? ; 12 119,00 ? ; 23,86 ? 
12.12.15; 5 053,00 ? ; 7 579,00 ? ; 12 149,00 ? ; 23,86 ? 
13.12.15; 5 069,00 ? ; 7 600,00 ? ; 12 180,00 ? ; 23,86 ? 
14.12.15; 5 086,00 ? ; 7 622,00 ? ; 12 213,00 ? ; 23,81 ? 
15.12.15; 5 105,00 ? ; 7 647,00 ? ; 12 249,00 ? ; 23,45 ? 
16.12.15; 5 125,00 ? ; 7 673,00 ? ; 12 287,00 ? ; 23,52 ? 
17.12.15; 5 145,00 ? ; 7 701,00 ? ; 12 329,00 ? ; 23,49 ? 
18.12.15; 5 166,00 ? ; 7 730,00 ? ; 12 375,00 ? ; 23,55 ? 
19.12.15; 5 188,00 ? ; 7 761,00 ? ; 12 425,00 ? ; 23,55 ? 
20.12.15; 5 209,00 ? ; 7 790,00 ? ; 12 469,00 ? ; 23,55 ? 
21.12.15; 5 230,00 ? ; 7 816,00 ? ; 12 509,00 ? ; 23,52 ? 
