Дата;ІГР
01.11.2015;0,32
01.12.2015;0,17
01.01.2016;0,11
01.02.2016;0,22
01.03.2016;0,18
01.04.2016;0,20
01.05.2016;0,14
01.06.2016;0,11
01.07.2016;0,18
01.08.2016;0,25
01.09.2016;0,15
01.10.2016;0,25
01.11.2016;0,26
01.12.2016;0,26
01.01.2017;0,33
01.02.2017;0,41
01.03.2017;0,22
01.04.2017;0,21
01.05.2017;0,16
01.06.2017;0,17
01.07.2017;0,39
01.08.2017;0,19
01.09.2017;0,19
01.10.2017;0,11
01.11.2017;0,10
01.12.2017;0,15
01.01.2018;0,10
01.02.2018;0,11
01.03.2018;0,30
01.04.2018;0,21
01.05.2018;0,13
01.06.2018;0,14
01.07.2018;0,27
01.08.2018;0,13
01.09.2018;0,13
01.10.2018;0,12
01.11.2018;0,31
01.12.2018;0,29
01.01.2019;0,12
01.02.2019;0,09
01.03.2019;0,05
01.04.2019;0,15
01.05.2019;0,09
01.06.2019;0,11
01.07.2019;0,09
01.08.2019;0,15
01.09.2019;0,19
01.10.2019;0,22
01.11.2019;0,15
01.12.2019;0,18
01.01.2020;0,48
01.02.2020;0,14
01.03.2020;0,04
01.04.2020;0,08
01.05.2020;0,05
01.06.2020;0,08
01.07.2020;0,09
01.08.2020;0,14
01.09.2020;0,27
01.10.2020;0,08
01.11.2020;0,12
01.12.2020;0,04
01.01.2021;0,15
01.02.2021;0,06
01.03.2021;0,10
01.04.2021;0,72
01.05.2021;0,33
01.06.2021;0,29
01.07.2021;0,14
01.08.2021;0,13
01.09.2021;0,07
01.10.2021;0,11
01.11.2021;0,57
01.12.2021;1,50
01.01.2022;2,59
01.02.2022;5,01
01.03.2022;8,70
01.04.2022;4,90
01.05.2022;3,19
01.06.2022;3,05
01.07.2022;2,68
01.08.2022;2,28
01.09.2022;2,93
01.10.2022;3,29
01.11.2022;2,46
01.12.2022;2,21
01.01.2023;1,95
01.02.2023;2,03
01.03.2023;2,00
01.04.2023;1,69
01.05.2023;1,77
01.06.2023;2,13
01.07.2023;1,83
01.08.2023;1,64
01.09.2023;1,66
01.10.2023;1,71
01.11.2023;1,22
01.12.2023;1,35
01.01.2024;1,48
01.02.2024;1,51
01.03.2024;1,48
01.04.2024;1,67
01.05.2024;1,53
01.06.2024;1,26
01.07.2024;0,86
01.08.2024;1,33
01.09.2024;1,29
01.10.2024;1,10
01.11.2024;1,75
