Дата;Індекс фінансового стресу
23.11.2015;0,28484
24.11.2015;0,27913
25.11.2015;0,27570
26.11.2015;0,28322
27.11.2015;0,28243
30.11.2015;0,29650
01.12.2015;0,29749
02.12.2015;0,30685
03.12.2015;0,30516
04.12.2015;0,31788
07.12.2015;0,25894
08.12.2015;0,30436
09.12.2015;0,28785
10.12.2015;0,27618
11.12.2015;0,28716
14.12.2015;0,29991
15.12.2015;0,30820
16.12.2015;0,30742
17.12.2015;0,30440
18.12.2015;0,31352
21.12.2015;0,32398
22.12.2015;0,31568
23.12.2015;0,31394
24.12.2015;0,31776
25.12.2015;0,31359
28.12.2015;0,30423
29.12.2015;0,30582
30.12.2015;0,30604
05.01.2016;0,30604
06.01.2016;0,26730
11.01.2016;0,22107
12.01.2016;0,28877
13.01.2016;0,27142
14.01.2016;0,23305
15.01.2016;0,23679
18.01.2016;0,23745
19.01.2016;0,24747
20.01.2016;0,28307
21.01.2016;0,24751
22.01.2016;0,28877
25.01.2016;0,27981
26.01.2016;0,29381
27.01.2016;0,29931
28.01.2016;0,30674
29.01.2016;0,31140
01.02.2016;0,29423
02.02.2016;0,30725
03.02.2016;0,30209
04.02.2016;0,27901
05.02.2016;0,24095
08.02.2016;0,22931
09.02.2016;0,23042
10.02.2016;0,25390
11.02.2016;0,24443
12.02.2016;0,23482
15.02.2016;0,26025
16.02.2016;0,25842
17.02.2016;0,24470
18.02.2016;0,24258
19.02.2016;0,25555
22.02.2016;0,24786
23.02.2016;0,22804
24.02.2016;0,23572
25.02.2016;0,24745
26.02.2016;0,24872
29.02.2016;0,24222
01.03.2016;0,22927
02.03.2016;0,21620
03.03.2016;0,22408
04.03.2016;0,21976
09.03.2016;0,19910
10.03.2016;0,19740
11.03.2016;0,20332
12.03.2016;0,20285
14.03.2016;0,21914
15.03.2016;0,21590
16.03.2016;0,20333
17.03.2016;0,19483
18.03.2016;0,22216
21.03.2016;0,22512
22.03.2016;0,19482
23.03.2016;0,20250
24.03.2016;0,20812
25.03.2016;0,20920
28.03.2016;0,21450
29.03.2016;0,22154
30.03.2016;0,23447
31.03.2016;0,21389
01.04.2016;0,21234
04.04.2016;0,20826
05.04.2016;0,21733
06.04.2016;0,21058
07.04.2016;0,20343
08.04.2016;0,20685
11.04.2016;0,20331
12.04.2016;0,22255
13.04.2016;0,19029
14.04.2016;0,19341
15.04.2016;0,19015
18.04.2016;0,20041
19.04.2016;0,22940
20.04.2016;0,20245
21.04.2016;0,19275
22.04.2016;0,17870
25.04.2016;0,17941
26.04.2016;0,17534
27.04.2016;0,17697
28.04.2016;0,17132
29.04.2016;0,16268
04.05.2016;0,15787
05.05.2016;0,16086
06.05.2016;0,16810
10.05.2016;0,15525
11.05.2016;0,15429
12.05.2016;0,14839
13.05.2016;0,14621
16.05.2016;0,14664
17.05.2016;0,14645
18.05.2016;0,14952
19.05.2016;0,14909
20.05.2016;0,14572
23.05.2016;0,14488
24.05.2016;0,15064
25.05.2016;0,14611
26.05.2016;0,14768
27.05.2016;0,14342
30.05.2016;0,14987
31.05.2016;0,13782
01.06.2016;0,13521
02.06.2016;0,13192
03.06.2016;0,13104
06.06.2016;0,10704
07.06.2016;0,07894
08.06.2016;0,08599
09.06.2016;0,09429
10.06.2016;0,09419
13.06.2016;0,10133
14.06.2016;0,10889
15.06.2016;0,12409
16.06.2016;0,13337
17.06.2016;0,12851
21.06.2016;0,13066
22.06.2016;0,12913
23.06.2016;0,11807
24.06.2016;0,12561
29.06.2016;0,11160
30.06.2016;0,11118
01.07.2016;0,09327
02.07.2016;0,08514
04.07.2016;0,08944
05.07.2016;0,09054
06.07.2016;0,08547
07.07.2016;0,07935
08.07.2016;0,08141
11.07.2016;0,07437
12.07.2016;0,07024
13.07.2016;0,05572
14.07.2016;0,04018
15.07.2016;0,02624
18.07.2016;0,01964
19.07.2016;0,01759
20.07.2016;0,01478
21.07.2016;0,01527
22.07.2016;0,01208
25.07.2016;0,01242
26.07.2016;0,01331
27.07.2016;0,01270
28.07.2016;0,01293
29.07.2016;0,01445
01.08.2016;0,01777
02.08.2016;0,01692
03.08.2016;0,01454
04.08.2016;0,01251
05.08.2016;0,01274
08.08.2016;0,01946
09.08.2016;0,01851
10.08.2016;0,01338
11.08.2016;0,01361
12.08.2016;0,01145
15.08.2016;0,01517
16.08.2016;0,01599
17.08.2016;0,01554
18.08.2016;0,01127
19.08.2016;0,01433
22.08.2016;0,01480
23.08.2016;0,01388
25.08.2016;0,02008
26.08.2016;0,02488
29.08.2016;0,03866
30.08.2016;0,04701
31.08.2016;0,05637
01.09.2016;0,05477
02.09.2016;0,04280
05.09.2016;0,03689
06.09.2016;0,04698
07.09.2016;0,04666
08.09.2016;0,04444
09.09.2016;0,03719
12.09.2016;0,03729
13.09.2016;0,04018
14.09.2016;0,04142
15.09.2016;0,04334
16.09.2016;0,04070
19.09.2016;0,03244
20.09.2016;0,04962
21.09.2016;0,06111
22.09.2016;0,06890
23.09.2016;0,06283
26.09.2016;0,06791
27.09.2016;0,05562
28.09.2016;0,05072
29.09.2016;0,05525
30.09.2016;0,05373
03.10.2016;0,05275
04.10.2016;0,04733
05.10.2016;0,05012
06.10.2016;0,04792
07.10.2016;0,04745
10.10.2016;0,04423
11.10.2016;0,04341
12.10.2016;0,04465
13.10.2016;0,04559
