Місяць, рік;Індекс цін у будівництві
01.11.2015;125.7
01.12.2015;124.6
01.01.2016;120.7
01.02.2016;117.4
01.03.2016;110.1
01.04.2016;109.6
01.05.2016;109.1
01.06.2016;108.9
01.07.2016;108.8
01.08.2016;108.5
01.09.2016;108.4
01.10.2016;108.5
01.11.2016;107.5
01.12.2016;108.3
01.01.2017;109.8
01.02.2017;111
01.03.2017;112.7
01.04.2017;112.3
01.05.2017;112.2
01.06.2017;112.5
01.07.2017;113.1
01.08.2017;114.4
01.09.2017;115
01.10.2017;114.8
01.11.2017;115.4
01.12.2017;115
01.01.2018;116.4
01.02.2018;126.2
01.03.2018;125.2
01.04.2018;124.7
01.05.2018;124.3
01.06.2018;124.1
01.07.2018;123.7
01.08.2018;122.5
01.09.2018;121.8
01.10.2018;121.9
01.11.2018;121.3
01.12.2018;119.6
01.01.2019;121
01.02.2019;110.3
01.03.2019;109.6
01.04.2019;109.4
01.05.2019;109.2
01.06.2019;108.5
01.07.2019;107.7
01.08.2019;107.5
01.09.2019;106.4
01.10.2019;105.2
01.11.2019;103.8
01.12.2019;103.9
01.01.2020;104.6
01.02.2020;105
01.03.2020;104.3
01.04.2020;103.6
01.05.2020;103.3
01.06.2020;103.1
01.07.2020;103.8
01.08.2020;104.6
01.09.2020;105.3
01.10.2020;105.6
01.11.2020;106.5
01.12.2020;107.4
01.01.2021;106.6
01.02.2021;107
01.03.2021;108.3
01.04.2021;108.9
01.05.2021;110.6
01.06.2021;112.2
01.07.2021;113.3
01.08.2021;113.6
01.09.2021;114.1
01.10.2021;116.1
01.11.2021;118.2
01.12.2021;119.7
01.01.2022;119
01.02.2022;125.7
01.03.2022;125.8
01.04.2022;126.3
01.05.2022;128.2
01.06.2022;131
01.07.2022;129.8
01.08.2022;130.4
01.09.2022;130.7
01.10.2022;130
01.11.2022;128.3
01.12.2022;127.1
01.01.2023;125.3
01.02.2023;118.8
01.03.2023;118.4
01.04.2023;121.2
01.05.2023;118.8
01.06.2023;115.2
01.07.2023;115.4
01.08.2023;115.4
01.09.2023;113.9
01.10.2023;113.1
01.11.2023;112
01.12.2023;111.3
01.01.2024;111.2
01.02.2024;111.6
01.03.2024;111.2
01.04.2024;107.9
01.05.2024;108.4
01.06.2024;108.9
01.07.2024;108.3
01.08.2024;107.5
01.09.2024;107.4
01.10.2024;107
01.11.2024;107.3
01.12.2024;107.4
01.01.2025;107.8
01.02.2025;106.8
