Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн",Примітка
23.11.2015,00.00,978,EUR,100,Євро,2563.4715,
24.11.2015,00.00,978,EUR,100,Євро,2558.2033,
25.11.2015,00.00,978,EUR,100,Євро,2550.8337,
26.11.2015,00.00,978,EUR,100,Євро,2516.4664,
27.11.2015,00.00,978,EUR,100,Євро,2504.1457,
28.11.2015,00.00,978,EUR,100,Євро,2504.1457,
29.11.2015,00.00,978,EUR,100,Євро,2504.1457,
30.11.2015,00.00,978,EUR,100,Євро,2526.9966,
01.12.2015,00.00,978,EUR,100,Євро,2533.468,
02.12.2015,00.00,978,EUR,100,Євро,2527.2057,
03.12.2015,00.00,978,EUR,100,Євро,2509.4939,
04.12.2015,00.00,978,EUR,100,Євро,2463.8066,
05.12.2015,00.00,978,EUR,100,Євро,2463.8066,
06.12.2015,00.00,978,EUR,100,Євро,2463.8066,
07.12.2015,00.00,978,EUR,100,Євро,2578.173,
08.12.2015,00.00,978,EUR,100,Євро,2534.7859,
09.12.2015,00.00,978,EUR,100,Євро,2491.8091,
10.12.2015,00.00,978,EUR,100,Євро,2504.933,
11.12.2015,00.00,978,EUR,100,Євро,2557.1951,
12.12.2015,00.00,978,EUR,100,Євро,2557.1951,
13.12.2015,00.00,978,EUR,100,Євро,2557.1951,
14.12.2015,00.00,978,EUR,100,Євро,2612.6803,
15.12.2015,00.00,978,EUR,100,Євро,2615.2302,
16.12.2015,00.00,978,EUR,100,Євро,2577.2984,
17.12.2015,00.00,978,EUR,100,Євро,2571.3624,
18.12.2015,00.00,978,EUR,100,Євро,2546.2988,
19.12.2015,00.00,978,EUR,100,Євро,2546.2988,
20.12.2015,00.00,978,EUR,100,Євро,2546.2988,
21.12.2015,00.00,978,EUR,100,Євро,2551.4894,
22.12.2015,00.00,978,EUR,100,Євро,2556.4231,
23.12.2015,00.00,978,EUR,100,Євро,2535.042,
24.12.2015,00.00,978,EUR,100,Євро,2510.3841,
25.12.2015,00.00,978,EUR,100,Євро,2513.9218,
26.12.2015,00.00,978,EUR,100,Євро,2513.9218,
27.12.2015,00.00,978,EUR,100,Євро,2513.9218,
28.12.2015,00.00,978,EUR,100,Євро,2532.8606,
29.12.2015,00.00,978,EUR,100,Євро,2609.7762,
30.12.2015,00.00,978,EUR,100,Євро,2605.5598,
31.12.2015,00.00,978,EUR,100,Євро,2622.3129,
01.01.2016,00.00,978,EUR,100,Євро,2622.3129,
02.01.2016,00.00,978,EUR,100,Євро,2622.3129,
03.01.2016,00.00,978,EUR,100,Євро,2622.3129,
04.01.2016,00.00,978,EUR,100,Євро,2622.3129,
05.01.2016,00.00,978,EUR,100,Євро,2622.3129,
06.01.2016,00.00,978,EUR,100,Євро,2555.7954,
07.01.2016,00.00,978,EUR,100,Євро,2555.7954,
08.01.2016,00.00,978,EUR,100,Євро,2555.7954,
09.01.2016,00.00,978,EUR,100,Євро,2555.7954,
10.01.2016,00.00,978,EUR,100,Євро,2555.7954,
11.01.2016,00.00,978,EUR,100,Євро,2524.6597,
12.01.2016,00.00,978,EUR,100,Євро,2559.1553,
13.01.2016,00.00,978,EUR,100,Євро,2521.1859,
14.01.2016,00.00,978,EUR,100,Євро,2557.1144,
15.01.2016,00.00,978,EUR,100,Євро,2608.9577,
16.01.2016,00.00,978,EUR,100,Євро,2639.8127,
17.01.2016,00.00,978,EUR,100,Євро,2639.8127,
18.01.2016,00.00,978,EUR,100,Євро,2661.1564,
19.01.2016,00.00,978,EUR,100,Євро,2683.4749,
20.01.2016,00.00,978,EUR,100,Євро,2700.0766,
21.01.2016,00.00,978,EUR,100,Євро,2689.78,
22.01.2016,00.00,978,EUR,100,Євро,2671.1526,
23.01.2016,00.00,978,EUR,100,Євро,2671.1526,
24.01.2016,00.00,978,EUR,100,Євро,2671.1526,
25.01.2016,00.00,978,EUR,100,Євро,2679.5371,
26.01.2016,00.00,978,EUR,100,Євро,2685.3448,
27.01.2016,00.00,978,EUR,100,Євро,2692.8814,
28.01.2016,00.00,978,EUR,100,Євро,2707.8972,
29.01.2016,00.00,978,EUR,100,Євро,2742.2974,
30.01.2016,00.00,978,EUR,100,Євро,2742.2974,
31.01.2016,00.00,978,EUR,100,Євро,2742.2974,
01.02.2016,00.00,978,EUR,100,Євро,2790.6092,
02.02.2016,00.00,978,EUR,100,Євро,2769.8014,
03.02.2016,00.00,978,EUR,100,Євро,2825.0462,
04.02.2016,00.00,978,EUR,100,Євро,2809.6033,
05.02.2016,00.00,978,EUR,100,Євро,2901.5329,
06.02.2016,00.00,978,EUR,100,Євро,2901.5329,
07.02.2016,00.00,978,EUR,100,Євро,2901.5329,
08.02.2016,00.00,978,EUR,100,Євро,2902.7736,
09.02.2016,00.00,978,EUR,100,Євро,2872.6498,
10.02.2016,00.00,978,EUR,100,Євро,2915.128,
11.02.2016,00.00,978,EUR,100,Євро,2920.1986,
12.02.2016,00.00,978,EUR,100,Євро,2959.7138,
13.02.2016,00.00,978,EUR,100,Євро,2959.7138,
14.02.2016,00.00,978,EUR,100,Євро,2959.7138,
15.02.2016,00.00,978,EUR,100,Євро,2948.1227,
16.02.2016,00.00,978,EUR,100,Євро,2998.2613,
17.02.2016,00.00,978,EUR,100,Євро,3017.0306,
18.02.2016,00.00,978,EUR,100,Євро,2975.9522,
19.02.2016,00.00,978,EUR,100,Євро,2933.0761,
20.02.2016,00.00,978,EUR,100,Євро,2933.0761,
21.02.2016,00.00,978,EUR,100,Євро,2933.0761,
22.02.2016,00.00,978,EUR,100,Євро,2979.9154,
23.02.2016,00.00,978,EUR,100,Євро,2978.6195,
24.02.2016,00.00,978,EUR,100,Євро,2996.2691,
