xValue,valueField0,valueField1,valueField2,valueField3
"2015-11-23",5000,7391,12000,24.06
"2015-11-24",5000,7396,12000,24.06
"2015-11-25",5000,7402,12000,""
"2015-11-26",5000,7407,12000,23.6
"2015-11-27",5000,7412,12000,23.88
"2015-11-28",5000,7418,12000,23.88
"2015-11-29",5000,7424,12000,23.88
"2015-11-30",5000,7429,12000,23.95
"2015-12-01",5000,7439,12000,23.84
"2015-12-02",5000,7448,12000,23.65
"2015-12-03",5000,7456,12000,23.09
"2015-12-04",5000,7463,12000,23.65
"2015-12-05",5000,7472,12004,23.65
"2015-12-06",5001,7483,12013,23.65
"2015-12-07",5004,7495,12027,23.45
"2015-12-08",5009,7509,12044,22.91
"2015-12-09",5017,7525,12067,22.89
"2015-12-10",5027,7541,12092,23.37
"2015-12-11",5039,7560,12119,23.86
"2015-12-12",5053,7579,12149,23.86
"2015-12-13",5069,7600,12180,23.86
"2015-12-14",5086,7622,12213,23.81
"2015-12-15",5105,7647,12249,23.45
"2015-12-16",5125,7673,12287,23.52
"2015-12-17",5145,7701,12329,23.49
"2015-12-18",5166,7730,12375,23.55
"2015-12-19",5188,7761,12425,23.55
"2015-12-20",5209,7790,12469,23.55
"2015-12-21",5230,7816,12509,23.52
"2015-12-22",5245,7839,12543,23.15
"2015-12-23",5257,7859,12571,23
"2015-12-24",5263,7876,12592,22.96
"2015-12-25",5266,7890,12609,23.14
"2015-12-26",5264,7899,12622,23.14
"2015-12-27",5257,7906,12633,23.14
"2015-12-28",5247,7908,12644,23.81
"2015-12-29",5235,7907,12654,23.79
"2015-12-30",5219,7902,12664,24
"2015-12-31",5202,7895,12670,24
"2016-01-01",5183,7887,12675,24
"2016-01-02",5165,7876,12677,24
"2016-01-03",5146,7864,12676,24
"2016-01-04",5129,7853,12677,24
"2016-01-05",5113,7842,12677,23.78
"2016-01-06",5100,7832,12680,23.5
"2016-01-07",5089,7823,12687,23.5
"2016-01-08",5081,7817,12697,23.5
"2016-01-09",5075,7813,12713,23.5
"2016-01-10",5072,7811,12734,23.5
"2016-01-11",5070,7813,12757,23.5
"2016-01-12",5071,7817,12779,23.27
"2016-01-13",5073,7824,12802,23.64
"2016-01-14",5076,7833,12824,23.95
"2016-01-15",5080,7845,12845,24.19
"2016-01-16",5083,7856,12865,24.38
"2016-01-17",5086,7869,12883,24.38
"2016-01-18",5086,7882,12902,24.64
"2016-01-19",5084,7895,12919,24.84
"2016-01-20",5080,7908,12939,24.66
"2016-01-21",5076,7920,12962,24.52
"2016-01-22",5070,7932,12988,24.79
"2016-01-23",5064,7943,13017,24.79
"2016-01-24",5057,7953,13050,24.79
"2016-01-25",5051,7962,13086,24.83
"2016-01-26",5045,7969,13123,24.85
"2016-01-27",5038,7976,13166,24.87
"2016-01-28",5032,7981,13213,25.15
"2016-01-29",5025,7984,13265,25.56
"2016-01-30",5019,7987,13322,25.56
"2016-01-31",5013,7989,13387,25.56
"2016-02-01",5009,7990,13457,25.45
"2016-02-02",5005,7991,13534,25.87
"2016-02-03",5003,7993,13617,25.7
"2016-02-04",5001,7993,13699,25.89
"2016-02-05",5000,7994,13777,25.91
"2016-02-06",5000,7995,13852,25.91
"2016-02-07",5000,7996,13922,25.91
"2016-02-08",5000,7997,13983,25.88
"2016-02-09",5000,7998,14036,25.94
"2016-02-10",5000,7999,14086,25.94
"2016-02-11",5000,8001,14128,26.08
"2016-02-12",5000,8004,14168,26.15
"2016-02-13",5000,8008,14202,26.15
"2016-02-14",5000,8012,14230,26.15
"2016-02-15",5000,8017,14252,26.82
"2016-02-16",5000,8022,14266,27.02
"2016-02-17",5000,8026,14271,26.72
"2016-02-18",5000,8031,14268,26.46
"2016-02-19",5000,8035,14260,26.86
"2016-02-20",5000,8040,14251,26.86
