Date;Індекс фінансового стресу для України (ІФС)
29.04.2008 0:00;0,00161
30.04.2008 0:00;0,00142
05.05.2008 0:00;0,00106
06.05.2008 0:00;0,00094
07.05.2008 0:00;0,00088
08.05.2008 0:00;0,00098
12.05.2008 0:00;0,00046
13.05.2008 0:00;0,00038
14.05.2008 0:00;0,00049
15.05.2008 0:00;0,00029
16.05.2008 0:00;0,0005
19.05.2008 0:00;0,00091
20.05.2008 0:00;0,00081
21.05.2008 0:00;0
22.05.2008 0:00;0,00158
23.05.2008 0:00;0,00221
26.05.2008 0:00;0,00256
27.05.2008 0:00;0,00215
28.05.2008 0:00;0,00102
29.05.2008 0:00;0,0009
30.05.2008 0:00;0,00058
02.06.2008 0:00;0,00073
03.06.2008 0:00;0,00099
04.06.2008 0:00;0,00252
05.06.2008 0:00;0,00292
06.06.2008 0:00;0,00188
09.06.2008 0:00;0,00255
10.06.2008 0:00;0,00499
11.06.2008 0:00;0,00369
12.06.2008 0:00;0,00427
13.06.2008 0:00;0,00294
17.06.2008 0:00;0,00299
18.06.2008 0:00;0,004
19.06.2008 0:00;0,0038
20.06.2008 0:00;0,00266
23.06.2008 0:00;0,00237
24.06.2008 0:00;0,00527
25.06.2008 0:00;0,0041
26.06.2008 0:00;0,0066
27.06.2008 0:00;0,00657
01.07.2008 0:00;0,00407
02.07.2008 0:00;0,00497
03.07.2008 0:00;0,00363
04.07.2008 0:00;0,00403
07.07.2008 0:00;0,00439
08.07.2008 0:00;0,0054
09.07.2008 0:00;0,00531
10.07.2008 0:00;0,0031
11.07.2008 0:00;0,00316
14.07.2008 0:00;0,00211
15.07.2008 0:00;0,00238
16.07.2008 0:00;0,00231
17.07.2008 0:00;0,00371
18.07.2008 0:00;0,00323
21.07.2008 0:00;0,00296
22.07.2008 0:00;0,00532
23.07.2008 0:00;0,00324
24.07.2008 0:00;0,00358
25.07.2008 0:00;0,00406
28.07.2008 0:00;0,00275
29.07.2008 0:00;0,00523
30.07.2008 0:00;0,0062
31.07.2008 0:00;0,00586
01.08.2008 0:00;0,00307
04.08.2008 0:00;0,00573
05.08.2008 0:00;0,00497
06.08.2008 0:00;0,00353
07.08.2008 0:00;0,00452
08.08.2008 0:00;0,00327
11.08.2008 0:00;0,00141
12.08.2008 0:00;0,00235
13.08.2008 0:00;0,00121
14.08.2008 0:00;0,00145
15.08.2008 0:00;0,00186
18.08.2008 0:00;0,00156
19.08.2008 0:00;0,00153
20.08.2008 0:00;0,00215
21.08.2008 0:00;0,00103
22.08.2008 0:00;0,00225
26.08.2008 0:00;0,00245
27.08.2008 0:00;0,00251
28.08.2008 0:00;0,00288
29.08.2008 0:00;0,00269
01.09.2008 0:00;0,0011
02.09.2008 0:00;0,00528
03.09.2008 0:00;0,00538
04.09.2008 0:00;0,00414
05.09.2008 0:00;0,00306
08.09.2008 0:00;0,00339
09.09.2008 0:00;0,00411
10.09.2008 0:00;0,0055
11.09.2008 0:00;0,0031
12.09.2008 0:00;0,00584
15.09.2008 0:00;0,00654
16.09.2008 0:00;0,01164
17.09.2008 0:00;0,01103
18.09.2008 0:00;0,01246
19.09.2008 0:00;0,01998
22.09.2008 0:00;0,02125
23.09.2008 0:00;0,03145
24.09.2008 0:00;0,03456
25.09.2008 0:00;0,03432
26.09.2008 0:00;0,03372
29.09.2008 0:00;0,03444
30.09.2008 0:00;0,03765
01.10.2008 0:00;0,03563
02.10.2008 0:00;0,05685
03.10.2008 0:00;0,09317
06.10.2008 0:00;0,11212
07.10.2008 0:00;0,13938
08.10.2008 0:00;0,15123
09.10.2008 0:00;0,1743
10.10.2008 0:00;0,21515
13.10.2008 0:00;0,31044
14.10.2008 0:00;0,39434
15.10.2008 0:00;0,43793
16.10.2008 0:00;0,4816
17.10.2008 0:00;0,49672
20.10.2008 0:00;0,53589
21.10.2008 0:00;0,53904
22.10.2008 0:00;0,61584
23.10.2008 0:00;0,67916
24.10.2008 0:00;0,71114
27.10.2008 0:00;0,78549
28.10.2008 0:00;0,80078
29.10.2008 0:00;0,83132
30.10.2008 0:00;0,82987
31.10.2008 0:00;0,77976
03.11.2008 0:00;0,7408
04.11.2008 0:00;0,82241
05.11.2008 0:00;0,80075
06.11.2008 0:00;0,81258
07.11.2008 0:00;0,8192
10.11.2008 0:00;0,79778
11.11.2008 0:00;0,79203
12.11.2008 0:00;0,80157
13.11.2008 0:00;0,81785
14.11.2008 0:00;0,82542
17.11.2008 0:00;0,81353
18.11.2008 0:00;0,80411
19.11.2008 0:00;0,83075
20.11.2008 0:00;0,84634
21.11.2008 0:00;0,87331
24.11.2008 0:00;0,83239
25.11.2008 0:00;0,85877
26.11.2008 0:00;0,86468
27.11.2008 0:00;0,85843
28.11.2008 0:00;0,87521
01.12.2008 0:00;0,78506
02.12.2008 0:00;0,79687
03.12.2008 0:00;0,79386
04.12.2008 0:00;0,77011
05.12.2008 0:00;0,77411
08.12.2008 0:00;0,77644
09.12.2008 0:00;0,76934
10.12.2008 0:00;0,75325
11.12.2008 0:00;0,73519
12.12.2008 0:00;0,71988
15.12.2008 0:00;0,71864
16.12.2008 0:00;0,70667
17.12.2008 0:00;0,68408
18.12.2008 0:00;0,71833
19.12.2008 0:00;0,73487
22.12.2008 0:00;0,70361
23.12.2008 0:00;0,72053
24.12.2008 0:00;0,72217
25.12.2008 0:00;0,71461
26.12.2008 0:00;0,70337
29.12.2008 0:00;0,67954
30.12.2008 0:00;0,7667
31.12.2008 0:00;0,69955
08.01.2009 0:00;0,71647
09.01.2009 0:00;0,73893
12.01.2009 0:00;0,77998
13.01.2009 0:00;0,77863
14.01.2009 0:00;0,75869
15.01.2009 0:00;0,80139
16.01.2009 0:00;0,74664
19.01.2009 0:00;0,77157
20.01.2009 0:00;0,76567
21.01.2009 0:00;0,75413
22.01.2009 0:00;0,71611
23.01.2009 0:00;0,73835
26.01.2009 0:00;0,74331
27.01.2009 0:00;0,77286
28.01.2009 0:00;0,8084
29.01.2009 0:00;0,77549
30.01.2009 0:00;0,77325
02.02.2009 0:00;0,78183
03.02.2009 0:00;0,83756
04.02.2009 0:00;0,83731
05.02.2009 0:00;0,8646
06.02.2009 0:00;0,77902
09.02.2009 0:00;0,73228
10.02.2009 0:00;0,7704
11.02.2009 0:00;0,75985
12.02.2009 0:00;0,77532
13.02.2009 0:00;0,78136
16.02.2009 0:00;0,79117
17.02.2009 0:00;0,84019
18.02.2009 0:00;0,87678
19.02.2009 0:00;0,88229
20.02.2009 0:00;0,91678
23.02.2009 0:00;0,90291
24.02.2009 0:00;0,96082
25.02.2009 0:00;0,98304
26.02.2009 0:00;0,93006
27.02.2009 0:00;0,96543
02.03.2009 0:00;0,89467
03.03.2009 0:00;1
04.03.2009 0:00;0,93215
05.03.2009 0:00;0,92447
06.03.2009 0:00;0,98253
10.03.2009 0:00;0,89822
11.03.2009 0:00;0,86495
12.03.2009 0:00;0,83917
13.03.2009 0:00;0,87383
16.03.2009 0:00;0,77363
17.03.2009 0:00;0,75545
18.03.2009 0:00;0,7192
19.03.2009 0:00;0,69276
20.03.2009 0:00;0,69403
23.03.2009 0:00;0,65233
24.03.2009 0:00;0,63847
25.03.2009 0:00;0,63724
26.03.2009 0:00;0,64821
27.03.2009 0:00;0,63836
30.03.2009 0:00;0,62041
31.03.2009 0:00;0,60641
01.04.2009 0:00;0,59562
02.04.2009 0:00;0,58404
03.04.2009 0:00;0,56926
06.04.2009 0:00;0,57698
07.04.2009 0:00;0,56039
08.04.2009 0:00;0,52539
09.04.2009 0:00;0,55237
10.04.2009 0:00;0,5472
13.04.2009 0:00;0,52505
14.04.2009 0:00;0,50359
15.04.2009 0:00;0,48285
16.04.2009 0:00;0,46066
17.04.2009 0:00;0,42849
21.04.2009 0:00;0,42588
22.04.2009 0:00;0,43708
23.04.2009 0:00;0,42775
24.04.2009 0:00;0,41778
27.04.2009 0:00;0,4071
28.04.2009 0:00;0,4058
29.04.2009 0:00;0,40977
