Період;ІЦЖП
2017-03;102.2
2017-06;104.1
2017-09;104.8
2017-12;104.7
2018-03;105.3
2018-06;105.4
2018-09;105.5
2018-12;105.4
2019-03;105.4
2019-06;106
2019-09;106.1
2019-12;106.6
2020-03;107
2020-06;106.9
2020-09;107.1
2020-12;106.9
2021-03;109.8
2021-06;111.3
2021-09;112.3
2021-12;113.5
2022-03;116.7
2022-06;115.7
2022-09;115.2
2022-12;114.6
2023-03;109.8
2023-06;110.9
2023-09;112.2
2023-12;112.8
2024-03;117.6
2024-06;115.1
2024-09;114.7
2024-12;115
2025-03;114.8
