Стовпець1;Індекс цін у будівництві;Індекс цін на житло на первинному ринку;Індекс цін на житло на вторинному ринку
31.12.2018 0:00;1;1;1
31.01.2019 0:00;1,018991098;0,98782921;0,974438653
28.02.2019 0:00;1,019980218;0,970071828;0,944065758
31.03.2019 0:00;1,030201121;0,984138069;0,976343224
30.04.2019 0:00;1,034289482;0,980247406;0,967121091
31.05.2019 0:00;1,032245302;0,992817239;0,996692061
30.06.2019 0:00;1,021958457;0,969074222;0,936647955
31.07.2019 0:00;1,024991757;0,961292897;0,89585004
31.08.2019 0:00;1,018859215;0,991620112;0,882919006
30.09.2019 0:00;1,023936696;0,969074222;0,839514836
31.10.2019 0:00;1,015759974;0,994313647;0,888031275
30.11.2019 0:00;1,013715793;0,962390263;0,87329591
31.12.2019 0:00;1,005605012;0,971867518;0,888031275
31.01.2020 0:00;1,033761952;1,01217079;0,952185245
29.02.2020 0:00;1,038905374;1,030526736;0,920008019
31.03.2020 0:00;1,035806133;1,140861931;1,05723737
30.04.2020 0:00;1,043059677;1,113826816;1,023356055
31.05.2020 0:00;1,044114738;1,070630487;1,014534884
30.06.2020 0:00;1,040949555;1,096967279;0,992682438
31.07.2020 0:00;1,049324102;1,155826018;1,028368083
31.08.2020 0:00;1,062973953;1,152932961;1,01212911
30.09.2020 0:00;1,083151995;1,166101357;1,054731355
31.10.2020 0:00;1,085328058;1,150339186;1,0590417
30.11.2020 0:00;1,10049456;1,159317638;1,08159583
31.12.2020 0:00;1,102670623;1,152334397;1,080392943
31.01.2021 0:00;1,143488295;1,177773344;1,091018444
28.02.2021 0:00;1,176656775;1,146847566;1,080793905
31.03.2021 0:00;1,193142104;1,187948923;1,089414595
30.04.2021 0:00;1,200263765;1,175079808;1,086908581
31.05.2021 0:00;1,219518628;1,190442937;1,098736969
30.06.2021 0:00;1,241477085;1,233040702;1,085805934
31.07.2021 0:00;1,26132542;1,243914605;1,080994387
31.08.2021 0:00;1,272667326;1,266560255;1,097534082
30.09.2021 0:00;1,276491922;1,273942538;1,052526063
31.10.2021 0:00;1,298186614;1,259377494;1,054931836
30.11.2021 0:00;1,322848665;1,253092578;1,125801925
31.12.2021 0:00;1,32812397;1,326815642;1,1388332
31.01.2022 0:00;1,35074184;1,370810056;1,194165998
28.02.2022 0:00;1,435806133;1,416999202;1,257618284
31.03.2022 0:00;1,46884273;1,427274541;1,216920609
30.04.2022 0:00;1,492317837;1,57112929;1,253708901
31.05.2022 0:00;1,557995384;1,652932961;1,283179631
30.06.2022 0:00;1,631256182;1,500099761;1,230152366
31.07.2022 0:00;1,644246621;1,805167598;1,518744988
31.08.2022 0:00;1,660731949;1,848762969;1,519947875
30.09.2022 0:00;1,670689087;1,870411014;1,496692061
31.10.2022 0:00;1,690735246;1,796288907;1,472133119
30.11.2022 0:00;1,700890208;1,916999202;1,467822775
31.12.2022 0:00;1,714474118;1,990722267;1,466619888
31.01.2023 0:00;1,723046489;2,030626496;1,46351243
28.02.2023 0:00;1,729970326;1,964584996;1,469727346
31.03.2023 0:00;1,742037587;1,804070231;1,477044908
30.04.2023 0:00;1,808242664;1,754888268;1,475240577
31.05.2023 0:00;1,831783712;1,70830008;1,48255814
30.06.2023 0:00;1,833564128;1,718475658;1,496692061
31.07.2023 0:00;1,855588526;1,719672785;1,383219727
31.08.2023 0:00;1,892713485;1,732741421;1,385725742
30.09.2023 0:00;1,89647214;1,731444533;1,386928629
31.10.2023 0:00;1,907879987;1,734138069;1,384121893
30.11.2023 0:00;1,898318497;1,750199521;1,386928629
31.12.2023 0:00;1,894559842;1,809457302;1,449478749
31.01.2024 0:00;1,90971632;1,812868591;1,447905086
29.02.2024 0:00;1,934542633;1,821445384;1,465764189
31.03.2024 0:00;1,938411718;1,838244748;1,50465282
30.04.2024 0:00;1,9519806;1,865782467;1,52447697
31.05.2024 0:00;1,973452387;1,893262709;1,559140206
30.06.2024 0:00;1,985293101;1,927808185;1,560576151
31.07.2024 0:00;1,995219566;1,923835922;1,579505222
31.08.2024 0:00;2,001205225;1,950731912;1,588465819
30.09.2024 0:00;2,007208841;1,976613388;1,590312806
31.10.2024 0:00;2,003194423;1,973685637;1,598815461
30.11.2024 0:00;2,019219978;1,978023463;1,612477996
31.12.2024 0:00;2,027296858;1,995386841;1,633895897
31.01.2025 0:00;2,043515233;2,025436845;1,626949982
28.02.2025 0:00;2,053732809;1,991695195;1,617667568
31.03.2025 0:00;2,068108939;1,995906205;1,617682997
30.04.2025 0:00;2,070177048;2,007694215;1,625218548
31.05.2025 0:00;2,076387579;2,006566506;1,625195722
30.06.2025 0:00;2,084693129;1,978983661;1,633783624
31.07.2025 0:00;2,101370674;2,012345546;1,636605471
31.08.2025 0:00;2,107674787;2,020637354;1,621614093
30.09.2025 0:00;2,109782461;2,010384605;1,626641145
31.10.2025 0:00;2,114002026;2,043572826;1,655144424
30.11.2025 0:00;;2,055452411;1,66675669
