"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2002","101.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2003","113.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2004","113.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2005","106.5"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2006","111.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2007","110.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2008","114.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2009","116.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2010","128.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2011","139"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2012","136"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2013","133.8"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2014","121.3"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2015","112.7"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2016","57.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2017","109"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2018","138.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2019","145.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2020","136.8"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2021","146.8"
