"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2002","164.7"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2003","164.5"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2004","167.9"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2005","161"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2006","160.6"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2007","159.4"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2008","150.4"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2009","136.7"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2010","145.5"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2011","142.7"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2012","145.7"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2013","141.6"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2014","120.9"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2015","132.5"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2016","64.3"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2017","104.4"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2018","158"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2019","144.8"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2020","111.9"
"Загальний коефіцієнт вибуття (всі потоки)","Україна","Річна","2021","121.1"
