"Показник,""Територіальний розріз"",""Тип місцевості"",""Періодичність"",""Період"",""Значення cпостереження"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2002"",""170"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2003"",""198"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2004"",""226.2"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2005"",""220.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2006"",""210.3"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2007"",""201.1"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2008"",""199.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2009"",""171.7"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2010"",""166.9"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2011"",""174.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2012"",""223.4"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2013"",""198.1"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2014"",""171.5"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2015"",""159.2"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2016"",""102.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2017"",""123.4"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2018"",""185.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2019"",""203.9"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2020"",""137.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Міська"",""Річна"",""2021"",""166.2"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2002"",""170"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2003"",""198"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2004"",""226.2"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2005"",""220.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2006"",""210.3"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2007"",""201.1"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2008"",""199.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2009"",""171.7"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2010"",""166.9"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2011"",""174.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2012"",""223.4"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2013"",""198.1"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2014"",""171.5"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2015"",""159.2"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2016"",""102.8"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2017"",""123.4"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2018"",""185.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2019"",""203.9"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2020"",""137.6"""
"Загальний коефіцієнт прибуття (всі потоки),""Київ"",""Загалом"",""Річна"",""2021"",""166.2"""
