"Показник","Територіальний розріз","Період","Значення cпостереження"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2002","179"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2003","179.9"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2004","185"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2005","174.4"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2006","187.1"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2007","188.4"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2008","175.7"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2009","176.5"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2010","186.4"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2011","192.8"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2012","188.8"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2013","178.6"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2014","159.8"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2015","173.2"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2016","35.1"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2017","44.4"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2018","142.8"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2019","135.5"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2020","91.2"
"Загальний коефіцієнт прибуття (всі потоки)","Вінницька","2021","107.1"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2002","141.5"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2003","144.4"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2004","148.3"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2005","142.5"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2006","142.1"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2007","143.8"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2008","135.5"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2009","116.7"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2010","130.8"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2011","116.7"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2012","125"
"Загальний коефіцієнт прибуття (всі потоки)","Донецька","2013","116.8"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2002","200.3"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2003","183"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2004","197"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2005","197.2"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2006","195.2"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2007","185.5"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2008","171.5"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2009","146.2"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2010","154"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2011","141.7"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2012","156.7"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2013","153.2"
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2014",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2015",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2016",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2017",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2018",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2019",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2020",""
"Загальний коефіцієнт прибуття (всі потоки)","Автономна Республіка Крим","2021",""
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2002","151.8"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2003","151.7"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2004","164.1"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2005","163.2"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2006","157.7"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2007","156.8"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2008","136.5"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2009","123"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2010","138.8"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2011","138.5"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2012","146.6"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2013","139.1"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2014","119.5"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2015","115.1"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2016","35.3"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2017","158.5"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2018","128.1"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2019","109.6"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2020","86.9"
"Загальний коефіцієнт прибуття (всі потоки)","Дніпропетровська","2021","96.5"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2002","157.7"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2003","159.4"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2004","166.3"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2005","162"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2006","163.7"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2007","163"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2008","153.6"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2009","139.6"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2010","149"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2011","146.4"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2012","159.3"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2013","148.6"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2014","126.2"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2015","140.5"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2016","68.9"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2017","119.7"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2018","167.6"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2019","154.4"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2020","117"
"Загальний коефіцієнт прибуття (всі потоки)","Україна","2021","129.6"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2002","155.3"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2003","134.8"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2004","178.3"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2005","179.4"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2006","190"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2007","192.5"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2008","183.9"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2009","164.7"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2010","170.9"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2011","166.3"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2012","164.3"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2013","154"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2014","137.2"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2015","155.9"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2016","43.4"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2017","83.4"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2018","164.9"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2019","141.7"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2020","104"
"Загальний коефіцієнт прибуття (всі потоки)","Волинська","2021","112.1"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2002","70.8"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2003","71"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2004","76.7"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2005","74.6"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2006","78"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2007","77.4"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2008","75.6"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2009","63.4"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2010","67.8"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2011","68.1"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2012","67.6"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2013","54.5"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2014","52.4"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2015","48.5"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2016","26.3"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2017","47.8"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2018","66.1"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2019","57.7"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2020","43.7"
"Загальний коефіцієнт прибуття (всі потоки)","Закарпатська","2021","53.7"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2002","178"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2003","179.7"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2004","179.4"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2005","169.6"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2006","180.9"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2007","178.1"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2008","172.5"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2009","152.6"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2010","183.6"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2011","178.7"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2012","193.7"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2013","169.8"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2014","143.2"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2015","158.1"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2016","103"
"Загальний коефіцієнт прибуття (всі потоки)","Житомирська","2017","115"
