"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M01","3448"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M02","7343"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M03","10632"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M04","14441"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M05","17240"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M06","20419"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M07","23685"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M08","26651"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M09","33107"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M10","42676"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M11","50949"
"Кількість прибулих (всі потоки)","Київ","Місячна","2005-M12","59179"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M01","3151"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M02","7949"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M03","11729"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M04","14907"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M05","17934"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M06","20935"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M07","23572"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M08","26545"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M09","33440"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M10","41410"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M11","48713"
"Кількість прибулих (всі потоки)","Київ","Місячна","2006-M12","56886"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M01","3654"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M02","6829"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M03","10355"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M04","13630"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M05","16360"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M06","19224"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M07","21812"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M08","24293"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M09","32055"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M10","41545"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M11","50388"
"Кількість прибулих (всі потоки)","Київ","Місячна","2007-M12","54885"
"Кількість прибулих (всі потоки)","Київ","Місячна","2008-M01","3424"
"Кількість прибулих (всі потоки)","Київ","Місячна","2008-M02","7206"
"Кількість прибулих (всі потоки)","Київ","Місячна","2008-M03","10234"
