"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість живонароджених","Київ","Місячна","2005-M01","1816"
"Кількість живонароджених","Київ","Місячна","2005-M02","3828"
"Кількість живонароджених","Київ","Місячна","2005-M03","6044"
"Кількість живонароджених","Київ","Місячна","2005-M04","8379"
"Кількість живонароджених","Київ","Місячна","2005-M05","10464"
"Кількість живонароджених","Київ","Місячна","2005-M06","12516"
"Кількість живонароджених","Київ","Місячна","2005-M07","14966"
"Кількість живонароджених","Київ","Місячна","2005-M08","17343"
"Кількість живонароджених","Київ","Місячна","2005-M09","19638"
"Кількість живонароджених","Київ","Місячна","2005-M10","21706"
"Кількість живонароджених","Київ","Місячна","2005-M11","23903"
"Кількість живонароджених","Київ","Місячна","2005-M12","26258"
"Кількість живонароджених","Київ","Місячна","2006-M01","1965"
"Кількість живонароджених","Київ","Місячна","2006-M02","4061"
"Кількість живонароджених","Київ","Місячна","2006-M03","6412"
"Кількість живонароджених","Київ","Місячна","2006-M04","8507"
"Кількість живонароджених","Київ","Місячна","2006-M05","10766"
"Кількість живонароджених","Київ","Місячна","2006-M06","13163"
"Кількість живонароджених","Київ","Місячна","2006-M07","15678"
"Кількість живонароджених","Київ","Місячна","2006-M08","18324"
"Кількість живонароджених","Київ","Місячна","2006-M09","20838"
"Кількість живонароджених","Київ","Місячна","2006-M10","23233"
"Кількість живонароджених","Київ","Місячна","2006-M11","25627"
"Кількість живонароджених","Київ","Місячна","2006-M12","28101"
"Кількість живонароджених","Київ","Місячна","2007-M01","2035"
"Кількість живонароджених","Київ","Місячна","2007-M02","4272"
"Кількість живонароджених","Київ","Місячна","2007-M03","6649"
"Кількість живонароджених","Київ","Місячна","2007-M04","8742"
"Кількість живонароджених","Київ","Місячна","2007-M05","11010"
"Кількість живонароджених","Київ","Місячна","2007-M06","13376"
"Кількість живонароджених","Київ","Місячна","2007-M07","16098"
"Кількість живонароджених","Київ","Місячна","2007-M08","18610"
"Кількість живонароджених","Київ","Місячна","2007-M09","21001"
"Кількість живонароджених","Київ","Місячна","2007-M10","23604"
