"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість живонароджених","Вінницька","Місячна","2005-M01","1132"
"Кількість живонароджених","Вінницька","Місячна","2005-M02","2399"
"Кількість живонароджених","Вінницька","Місячна","2005-M03","3677"
"Кількість живонароджених","Вінницька","Місячна","2005-M04","4939"
"Кількість живонароджених","Вінницька","Місячна","2005-M05","6221"
"Кількість живонароджених","Вінницька","Місячна","2005-M06","7441"
"Кількість живонароджених","Вінницька","Місячна","2005-M07","8812"
"Кількість живонароджених","Вінницька","Місячна","2005-M08","10169"
"Кількість живонароджених","Вінницька","Місячна","2005-M09","11462"
"Кількість живонароджених","Вінницька","Місячна","2005-M10","12684"
"Кількість живонароджених","Вінницька","Місячна","2005-M11","13894"
"Кількість живонароджених","Вінницька","Місячна","2005-M12","15174"
"Кількість живонароджених","Вінницька","Місячна","2006-M01","1197"
"Кількість живонароджених","Вінницька","Місячна","2006-M02","2484"
"Кількість живонароджених","Вінницька","Місячна","2006-M03","3765"
"Кількість живонароджених","Вінницька","Місячна","2006-M04","5011"
"Кількість живонароджених","Вінницька","Місячна","2006-M05","6471"
"Кількість живонароджених","Вінницька","Місячна","2006-M06","7743"
"Кількість живонароджених","Вінницька","Місячна","2006-M07","9217"
"Кількість живонароджених","Вінницька","Місячна","2006-M08","10623"
"Кількість живонароджених","Вінницька","Місячна","2006-M09","12054"
"Кількість живонароджених","Вінницька","Місячна","2006-M10","13602"
"Кількість живонароджених","Вінницька","Місячна","2006-M11","15009"
"Кількість живонароджених","Вінницька","Місячна","2006-M12","16287"
"Кількість живонароджених","Вінницька","Місячна","2007-M01","1302"
"Кількість живонароджених","Вінницька","Місячна","2007-M02","2620"
"Кількість живонароджених","Вінницька","Місячна","2007-M03","4044"
"Кількість живонароджених","Вінницька","Місячна","2007-M04","5371"
"Кількість живонароджених","Вінницька","Місячна","2007-M05","6851"
"Кількість живонароджених","Вінницька","Місячна","2007-M06","8161"
"Кількість живонароджених","Вінницька","Місячна","2007-M07","9799"
"Кількість живонароджених","Вінницька","Місячна","2007-M08","11269"
"Кількість живонароджених","Вінницька","Місячна","2007-M09","12609"
"Кількість живонароджених","Вінницька","Місячна","2007-M10","14098"
"Кількість живонароджених","Вінницька","Місячна","2007-M11","15448"
"Кількість живонароджених","Вінницька","Місячна","2007-M12","16711"
"Кількість живонароджених","Вінницька","Місячна","2008-M01","1434"
"Кількість живонароджених","Вінницька","Місячна","2008-M02","2756"
"Кількість живонароджених","Вінницька","Місячна","2008-M03","4043"
"Кількість живонароджених","Вінницька","Місячна","2008-M04","5211"
"Кількість живонароджених","Вінницька","Місячна","2008-M05","6817"
"Кількість живонароджених","Вінницька","Місячна","2008-M06","8159"
"Кількість живонароджених","Вінницька","Місячна","2008-M07","9955"
"Кількість живонароджених","Вінницька","Місячна","2008-M08","11576"
"Кількість живонароджених","Вінницька","Місячна","2008-M09","13224"
"Кількість живонароджених","Вінницька","Місячна","2008-M10","14953"
"Кількість живонароджених","Вінницька","Місячна","2008-M11","16422"
"Кількість живонароджених","Вінницька","Місячна","2008-M12","17915"
"Кількість живонароджених","Вінницька","Місячна","2009-M01","1444"
"Кількість живонароджених","Вінницька","Місячна","2009-M02","2841"
"Кількість живонароджених","Вінницька","Місячна","2009-M03","4334"
"Кількість живонароджених","Вінницька","Місячна","2009-M04","5813"
"Кількість живонароджених","Вінницька","Місячна","2009-M05","7247"
"Кількість живонароджених","Вінницька","Місячна","2009-M06","8719"
"Кількість живонароджених","Вінницька","Місячна","2009-M07","10436"
"Кількість живонароджених","Вінницька","Місячна","2009-M08","12011"
"Кількість живонароджених","Вінницька","Місячна","2009-M09","13558"
"Кількість живонароджених","Вінницька","Місячна","2009-M10","15216"
"Кількість живонароджених","Вінницька","Місячна","2009-M11","16626"
"Кількість живонароджених","Вінницька","Місячна","2009-M12","18053"
"Кількість живонароджених","Вінницька","Місячна","2010-M01","1362"
"Кількість живонароджених","Вінницька","Місячна","2010-M02","2751"
"Кількість живонароджених","Вінницька","Місячна","2010-M03","4257"
"Кількість живонароджених","Вінницька","Місячна","2010-M04","5717"
"Кількість живонароджених","Вінницька","Місячна","2010-M05","7118"
"Кількість живонароджених","Вінницька","Місячна","2010-M06","8597"
"Кількість живонароджених","Вінницька","Місячна","2010-M07","10194"
"Кількість живонароджених","Вінницька","Місячна","2010-M08","11690"
"Кількість живонароджених","Вінницька","Місячна","2010-M09","13209"
"Кількість живонароджених","Вінницька","Місячна","2010-M10","14710"
"Кількість живонароджених","Вінницька","Місячна","2010-M11","16110"
"Кількість живонароджених","Вінницька","Місячна","2010-M12","17508"
"Кількість живонароджених","Вінницька","Місячна","2011-M01","1504"
"Кількість живонароджених","Вінницька","Місячна","2011-M02","2872"
"Кількість живонароджених","Вінницька","Місячна","2011-M03","4321"
"Кількість живонароджених","Вінницька","Місячна","2011-M04","5565"
"Кількість живонароджених","Вінницька","Місячна","2011-M05","6972"
"Кількість живонароджених","Вінницька","Місячна","2011-M06","8367"
"Кількість живонароджених","Вінницька","Місячна","2011-M07","10012"
"Кількість живонароджених","Вінницька","Місячна","2011-M08","11748"
"Кількість живонароджених","Вінницька","Місячна","2011-M09","13345"
"Кількість живонароджених","Вінницька","Місячна","2011-M10","14843"
"Кількість живонароджених","Вінницька","Місячна","2011-M11","16430"
"Кількість живонароджених","Вінницька","Місячна","2011-M12","17894"
"Кількість живонароджених","Вінницька","Місячна","2012-M01","1475"
"Кількість живонароджених","Вінницька","Місячна","2012-M02","3107"
"Кількість живонароджених","Вінницька","Місячна","2012-M03","4565"
"Кількість живонароджених","Вінницька","Місячна","2012-M04","5999"
"Кількість живонароджених","Вінницька","Місячна","2012-M05","7555"
"Кількість живонароджених","Вінницька","Місячна","2012-M06","8934"
"Кількість живонароджених","Вінницька","Місячна","2012-M07","10675"
"Кількість живонароджених","Вінницька","Місячна","2012-M08","12336"
"Кількість живонароджених","Вінницька","Місячна","2012-M09","13875"
"Кількість живонароджених","Вінницька","Місячна","2012-M10","15518"
"Кількість живонароджених","Вінницька","Місячна","2012-M11","17023"
"Кількість живонароджених","Вінницька","Місячна","2012-M12","18340"
"Кількість живонароджених","Вінницька","Місячна","2013-M01","1500"
"Кількість живонароджених","Вінницька","Місячна","2013-M02","2840"
"Кількість живонароджених","Вінницька","Місячна","2013-M03","4112"
"Кількість живонароджених","Вінницька","Місячна","2013-M04","5442"
"Кількість живонароджених","Вінницька","Місячна","2013-M05","6890"
"Кількість живонароджених","Вінницька","Місячна","2013-M06","8155"
"Кількість живонароджених","Вінницька","Місячна","2013-M07","9912"
"Кількість живонароджених","Вінницька","Місячна","2013-M08","11471"
"Кількість живонароджених","Вінницька","Місячна","2013-M09","12942"
"Кількість живонароджених","Вінницька","Місячна","2013-M10","14614"
"Кількість живонароджених","Вінницька","Місячна","2013-M11","16051"
"Кількість живонароджених","Вінницька","Місячна","2013-M12","17437"
"Кількість живонароджених","Вінницька","Місячна","2014-M01","1509"
"Кількість живонароджених","Вінницька","Місячна","2014-M02","2921"
"Кількість живонароджених","Вінницька","Місячна","2014-M03","4207"
"Кількість живонароджених","Вінницька","Місячна","2014-M04","5604"
"Кількість живонароджених","Вінницька","Місячна","2014-M05","7079"
"Кількість живонароджених","Вінницька","Місячна","2014-M06","8567"
"Кількість живонароджених","Вінницька","Місячна","2014-M07","10354"
"Кількість живонароджених","Вінницька","Місячна","2014-M08","11768"
"Кількість живонароджених","Вінницька","Місячна","2014-M09","13280"
"Кількість живонароджених","Вінницька","Місячна","2014-M10","14879"
"Кількість живонароджених","Вінницька","Місячна","2014-M11","16152"
"Кількість живонароджених","Вінницька","Місячна","2014-M12","17547"
"Кількість живонароджених","Вінницька","Місячна","2015-M01","1364"
"Кількість живонароджених","Вінницька","Місячна","2015-M02","2743"
"Кількість живонароджених","Вінницька","Місячна","2015-M03","4070"
"Кількість живонароджених","Вінницька","Місячна","2015-M04","5433"
"Кількість живонароджених","Вінницька","Місячна","2015-M05","6681"
"Кількість живонароджених","Вінницька","Місячна","2015-M06","8035"
"Кількість живонароджених","Вінницька","Місячна","2015-M07","9654"
"Кількість живонароджених","Вінницька","Місячна","2015-M08","11059"
"Кількість живонароджених","Вінницька","Місячна","2015-M09","12554"
