Дата;Усі банки
31.12.2021 0:00;1
31.01.2022 0:00;1,007
28.02.2022 0:00;1,052
31.03.2022 0:00;1,047
30.04.2022 0:00;1,075
31.05.2022 0:00;1,121
30.06.2022 0:00;1,103
31.07.2022 0:00;1,102
31.08.2022 0:00;1,098
30.09.2022 0:00;1,079
31.10.2022 0:00;1,062
30.11.2022 0:00;1,04
31.12.2022 0:00;1,004
31.01.2023 0:00;0,988
28.02.2023 0:00;0,983
31.03.2023 0:00;0,956
30.04.2023 0:00;0,932
31.05.2023 0:00;0,922
30.06.2023 0:00;0,926
31.07.2023 0:00;0,929
31.08.2023 0:00;0,94
30.09.2023 0:00;0,971
31.10.2023 0:00;0,972
30.11.2023 0:00;0,992
31.12.2023 0:00;0,996
31.01.2024 0:00;0,988
29.02.2024 0:00;0,996
31.03.2024 0:00;1,025
30.04.2024 0:00;1,043
31.05.2024 0:00;1,069
30.06.2024 0:00;1,115
31.07.2024 0:00;1,135
31.08.2024 0:00;1,156
30.09.2024 0:00;1,193
31.10.2024 0:00;1,182
30.11.2024 0:00;1,207
31.12.2024 0:00;1,203
31.01.2025 0:00;1,214
28.02.2025 0:00;1,261
31.03.2025 0:00;1,317
30.04.2025 0:00;1,344
31.05.2025 0:00;1,397
30.06.2025 0:00;1,447
31.07.2025 0:00;1,49
31.08.2025 0:00;1,546
30.09.2025 0:00;1,562
31.10.2025 0:00;1,598
30.11.2025 0:00;1,654
31.12.2025 0:00;1,631
