Дата;ОК
31.12.2018; 6 868 788 072,80 
31.01.2019; 6 880 561 057,36 
28.02.2019; 6 976 418 344,85 
31.03.2019; 7 115 101 979,66 
30.04.2019; 7 197 640 871,18 
31.05.2019; 7 256 749 674,81 
30.06.2019; 7 497 438 211,44 
31.07.2019; 7 616 817 006,06 
31.08.2019; 7 703 201 429,19 
30.09.2019; 7 778 011 668,40 
31.10.2019; 7 906 740 081,52 
30.11.2019; 7 942 778 812,48 
31.12.2019; 8 106 427 527,22 
31.01.2020; 8 089 719 163,07 
29.02.2020; 8 138 783 148,47 
31.03.2020; 8 118 368 374,84 
30.04.2020; 7 998 467 607,64 
31.05.2020; 7 917 320 749,93 
30.06.2020; 7 864 031 725,85 
31.07.2020; 8 054 832 354,18 
31.08.2020; 8 177 077 681,25 
30.09.2020; 8 418 309 495,65 
31.10.2020; 8 613 562 486,61 
30.11.2020; 8 804 314 203,69 
31.12.2020; 9 048 058 702,67 
31.01.2021; 9 147 319 596,57 
28.02.2021; 9 323 934 028,30 
31.03.2021; 9 619 115 559,25 
30.04.2021; 10 155 584 353,68 
31.05.2021; 10 596 461 557,38 
30.06.2021; 11 156 457 810,42 
31.07.2021; 11 777 287 161,24 
31.08.2021; 12 346 424 460,92 
30.09.2021; 13 008 551 616,06 
31.10.2021; 13 528 995 755,50 
30.11.2021; 14 074 035 051,71 
31.12.2021; 14 693 487 048,00 
31.01.2022; 15 044 728 303,85 
28.02.2022; 15 335 270 522,31 
31.03.2022; 14 751 334 543,71 
30.04.2022; 14 151 984 352,32 
31.05.2022; 13 888 291 414,45 
30.06.2022; 13 588 291 414,45 
31.07.2022; 13 142 389 682,29 
31.08.2022; 12 804 109 668,42 
30.09.2022; 12 595 609 011,39 
31.10.2022; 12 413 121 166,10 
30.11.2022; 12 387 304 490,95 
31.12.2022; 12 399 784 752,74 
31.01.2023; 12 699 412 983,72 
28.02.2023; 12 563 169 296,67 
31.03.2023; 12 296 940 217,60 
30.04.2023; 12 043 752 036,93 
31.05.2023; 12 108 706 324,46 
30.06.2023; 12 629 300 005,10 
31.07.2023; 13 256 949 451,48 
31.08.2023; 13 903 529 408,33 
30.09.2023; 14 989 795 012,23 
31.10.2023; 15 989 821 362,82 
30.11.2023; 17 145 184 149,96 
31.12.2023; 18 461 381 697,87 
31.01.2024; 19 301 591 827,44 
29.02.2024; 20 323 829 396,24 
31.03.2024; 21 514 892 218,54 
30.04.2024; 22 874 749 989,01 
31.05.2024; 24 312 374 163,71  
30.06.2024; 25 030 308 090,69  
31.07.2024; 25 935 941 061,28  
31.08.2024; 26 753 228 319,28  
30.09.2024; 27 725 617 384,93  
31.10.2024; 28 676 023 236,17  
