Дата;РД;
01.01.2014;38,4%;
01.02.2014;38,6%;
01.03.2014;43,8%;
01.04.2014;45,5%;
01.05.2014;45,5%;
01.06.2014;45,3%;
01.07.2014;44,5%;
01.08.2014;44,4%;
01.09.2014;46,4%;
01.10.2014;43,3%;
01.11.2014;44,2%;
01.12.2014;47,6%;
01.01.2015;47,8%;
01.02.2015;48,2%;
01.03.2015;61,1%;
01.04.2015;55,8%;
01.05.2015;52,6%;
01.06.2015;51,7%;
01.07.2015;50,4%;
01.08.2015;50,4%;
01.09.2015;49,4%;
01.10.2015;48,9%;
01.11.2015;49,1%;
01.12.2015;49,5%;
01.01.2016;46,7%;
01.02.2016;48,2%;
01.03.2016;50,1%;
01.04.2016;50,0%;
01.05.2016;48,6%;
01.06.2016;47,7%;
01.07.2016;47,3%;
01.08.2016;47,0%;
01.09.2016;48,9%;
01.10.2016;48,7%;
01.11.2016;48,1%;
01.12.2016;47,7%;
01.01.2017;48,1%;
01.02.2017;48,3%;
01.03.2017;47,9%;
01.04.2017;47,3%;
01.05.2017;44,7%;
01.06.2017;44,4%;
01.07.2017;44,0%;
01.08.2017;44,2%;
01.09.2017;44,6%;
01.10.2017;45,4%;
01.11.2017;45,3%;
01.12.2017;45,4%;
01.01.2018;44,5%;
01.02.2018;44,9%;
01.03.2018;43,7%;
01.04.2018;43,1%;
01.05.2018;42,3%;
01.06.2018;41,8%;
01.07.2018;42,0%;
01.08.2018;42,1%;
01.09.2018;44,8%;
01.10.2018;44,6%;
01.11.2018;44,3%;
01.12.2018;44,2%;
01.01.2019;41,4%;
01.02.2019;41,3%;
01.03.2019;40,8%;
01.04.2019;41,2%;
01.05.2019;40,7%;
01.06.2019;40,9%;
01.07.2019;40,5%;
01.08.2019;42,0%;
01.09.2019;42,1%;
01.10.2019;40,3%;
01.11.2019;41,5%;
01.12.2019;40,5%;
01.01.2020;39,4%;
01.02.2020;41,0%;
01.03.2020;40,7%;
01.04.2020;44,3%;
01.05.2020;42,2%;
01.06.2020;41,8%;
01.07.2020;40,6%;
01.08.2020;41,4%;
01.09.2020;40,7%;
01.10.2020;40,9%;
01.11.2020;40,5%;
01.12.2020;40,5%;
01.01.2021;37,9%;
01.02.2021;38,5%;
01.03.2021;38,1%;
01.04.2021;38,2%;
01.05.2021;38,1%;
01.06.2021;37,7%;
01.07.2021;36,6%;
01.08.2021;36,4%;
01.09.2021;36,2%;
01.10.2021;35,5%;
01.11.2021;35,1%;
01.12.2021;35,1%;
01.01.2022;32,9%;
01.02.2022;35,5%;
01.03.2022;35,4%;
01.04.2022;32,7%;
01.05.2022;31,8%;
01.06.2022;32,2%;
01.07.2022;32,6%;
01.08.2022;38,2%;
01.09.2022;37,6%;
01.10.2022;36,7%;
01.11.2022;36,6%;
01.12.2022;36,4%;
01.01.2023;35,0%;
01.02.2023;36,2%;
01.03.2023;35,8%;
01.04.2023;36,0%;
01.05.2023;35,3%;
01.06.2023;34,4%;
01.07.2023;33,9%;
01.08.2023;33,2%;
01.09.2023;33,1%;
01.10.2023;32,5%;
01.11.2023;32,7%;
01.12.2023;31,9%;
01.01.2024;31,5%;
01.02.2024;32,3%;
01.03.2024;31,9%;
01.04.2024;32,2%;
01.05.2024;32,4%;
01.06.2024;33,0%;
01.07.2024;32,6%;
01.08.2024;32,7%;
01.09.2024;33,3%;
01.10.2024;33,1%;
01.11.2024;32,6%;
01.12.2024;32,6%;
