"Показник","Періодичність","Період","Значення cпостереження"
"Кількість померлих","Річна","1989","21479"
"Кількість померлих","Річна","1990","22754"
"Кількість померлих","Річна","1991","24153"
"Кількість померлих","Річна","1992","25134"
"Кількість померлих","Річна","1993","27407"
"Кількість померлих","Річна","1994","28539"
"Кількість померлих","Річна","1995","30378"
"Кількість померлих","Річна","1996","28322"
"Кількість померлих","Річна","1997","26278"
"Кількість померлих","Річна","1998","25714"
"Кількість померлих","Річна","1999","26042"
"Кількість померлих","Річна","2000","26603"
"Кількість померлих","Річна","2001","27168"
"Кількість померлих","Річна","2002","27641"
"Кількість померлих","Річна","2003","28134"
"Кількість померлих","Річна","2004","28487"
"Кількість померлих","Річна","2005","30075"
"Кількість померлих","Річна","2006","29920"
"Кількість померлих","Річна","2007","31111"
"Кількість померлих","Річна","2008","30067"
"Кількість померлих","Річна","2009","28292"
"Кількість померлих","Річна","2010","28625"
"Кількість померлих","Річна","2011","27050"
"Кількість померлих","Річна","2012","27840"
"Кількість померлих","Річна","2013","28003"
"Кількість померлих","Річна","2014","29992"
"Кількість померлих","Річна","2015","30425"
"Кількість померлих","Річна","2016","30666"
"Кількість померлих","Річна","2017","30808"
"Кількість померлих","Річна","2018","32231"
"Кількість померлих","Річна","2019","33137"
"Кількість померлих","Річна","2020","36091"
"Кількість померлих","Річна","2021","45223"
"Кількість померлих","Місячна","2005-M01","2576"
"Кількість померлих","Місячна","2005-M02","5116"
"Кількість померлих","Місячна","2005-M03","7956"
"Кількість померлих","Місячна","2005-M04","10466"
"Кількість померлих","Місячна","2005-M05","13104"
"Кількість померлих","Місячна","2005-M06","15359"
"Кількість померлих","Місячна","2005-M07","17718"
"Кількість померлих","Місячна","2005-M08","20213"
"Кількість померлих","Місячна","2005-M09","22482"
"Кількість померлих","Місячна","2005-M10","24993"
"Кількість померлих","Місячна","2005-M11","27444"
"Кількість померлих","Місячна","2005-M12","30075"
"Кількість померлих","Місячна","2006-M01","2810"
"Кількість померлих","Місячна","2006-M02","5222"
"Кількість померлих","Місячна","2006-M03","7751"
"Кількість померлих","Місячна","2006-M04","10105"
"Кількість померлих","Місячна","2006-M05","12741"
"Кількість померлих","Місячна","2006-M06","15241"
"Кількість померлих","Місячна","2006-M07","17610"
"Кількість померлих","Місячна","2006-M08","19906"
"Кількість померлих","Місячна","2006-M09","22232"
"Кількість померлих","Місячна","2006-M10","24864"
"Кількість померлих","Місячна","2006-M11","27432"
"Кількість померлих","Місячна","2006-M12","29920"
"Кількість померлих","Місячна","2007-M01","2693"
"Кількість померлих","Місячна","2007-M02","5248"
"Кількість померлих","Місячна","2007-M03","7963"
"Кількість померлих","Місячна","2007-M04","10515"
"Кількість померлих","Місячна","2007-M05","13432"
"Кількість померлих","Місячна","2007-M06","15737"
"Кількість померлих","Місячна","2007-M07","18157"
"Кількість померлих","Місячна","2007-M08","20565"
"Кількість померлих","Місячна","2007-M09","22979"
"Кількість померлих","Місячна","2007-M10","25799"
"Кількість померлих","Місячна","2007-M11","28412"
