"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість померлих","Україна","Місячна","2005-M01","70462"
"Кількість померлих","Україна","Місячна","2005-M02","140589"
"Кількість померлих","Україна","Місячна","2005-M03","217756"
"Кількість померлих","Україна","Місячна","2005-M04","285868"
"Кількість померлих","Україна","Місячна","2005-M05","354916"
"Кількість померлих","Україна","Місячна","2005-M06","413403"
"Кількість померлих","Україна","Місячна","2005-M07","470594"
"Кількість померлих","Україна","Місячна","2005-M08","530603"
"Кількість померлих","Україна","Місячна","2005-M09","586393"
"Кількість померлих","Україна","Місячна","2005-M10","649076"
"Кількість померлих","Україна","Місячна","2005-M11","715462"
"Кількість померлих","Україна","Місячна","2005-M12","781961"
"Кількість померлих","Україна","Місячна","2006-M01","77309"
"Кількість померлих","Україна","Місячна","2006-M02","142838"
"Кількість померлих","Україна","Місячна","2006-M03","209089"
"Кількість померлих","Україна","Місячна","2006-M04","270178"
"Кількість померлих","Україна","Місячна","2006-M05","337600"
"Кількість померлих","Україна","Місячна","2006-M06","397249"
"Кількість померлих","Україна","Місячна","2006-M07","453681"
"Кількість померлих","Україна","Місячна","2006-M08","511340"
"Кількість померлих","Україна","Місячна","2006-M09","567121"
"Кількість померлих","Україна","Місячна","2006-M10","631403"
"Кількість померлих","Україна","Місячна","2006-M11","696363"
"Кількість померлих","Україна","Місячна","2006-M12","758092"
"Кількість померлих","Україна","Місячна","2007-M01","69837"
"Кількість померлих","Україна","Місячна","2007-M02","132957"
"Кількість померлих","Україна","Місячна","2007-M03","202422"
"Кількість померлих","Україна","Місячна","2007-M04","264721"
"Кількість померлих","Україна","Місячна","2007-M05","332341"
"Кількість померлих","Україна","Місячна","2007-M06","386456"
"Кількість померлих","Україна","Місячна","2007-M07","449286"
"Кількість померлих","Україна","Місячна","2007-M08","507593"
"Кількість померлих","Україна","Місячна","2007-M09","562778"
"Кількість померлих","Україна","Місячна","2007-M10","630291"
"Кількість померлих","Україна","Місячна","2007-M11","697823"
"Кількість померлих","Україна","Місячна","2007-M12","762877"
"Кількість померлих","Україна","Місячна","2008-M01","78929"
"Кількість померлих","Україна","Місячна","2008-M02","142950"
"Кількість померлих","Україна","Місячна","2008-M03","207253"
"Кількість померлих","Україна","Місячна","2008-M04","269004"
"Кількість померлих","Україна","Місячна","2008-M05","335932"
"Кількість померлих","Україна","Місячна","2008-M06","392033"
"Кількість померлих","Україна","Місячна","2008-M07","453540"
"Кількість померлих","Україна","Місячна","2008-M08","509608"
"Кількість померлих","Україна","Місячна","2008-M09","567189"
"Кількість померлих","Україна","Місячна","2008-M10","629984"
"Кількість померлих","Україна","Місячна","2008-M11","689513"
"Кількість померлих","Україна","Місячна","2008-M12","754460"
"Кількість померлих","Україна","Місячна","2009-M01","70788"
"Кількість померлих","Україна","Місячна","2009-M02","127980"
"Кількість померлих","Україна","Місячна","2009-M03","193043"
"Кількість померлих","Україна","Місячна","2009-M04","255029"
"Кількість померлих","Україна","Місячна","2009-M05","313471"
"Кількість померлих","Україна","Місячна","2009-M06","369657"
"Кількість померлих","Україна","Місячна","2009-M07","427005"
"Кількість померлих","Україна","Місячна","2009-M08","477056"
"Кількість померлих","Україна","Місячна","2009-M09","529026"
"Кількість померлих","Україна","Місячна","2009-M10","586854"
"Кількість померлих","Україна","Місячна","2009-M11","643956"
"Кількість померлих","Україна","Місячна","2009-M12","706739"
"Кількість померлих","Україна","Місячна","2010-M01","63895"
"Кількість померлих","Україна","Місячна","2010-M02","121613"
"Кількість померлих","Україна","Місячна","2010-M03","182996"
"Кількість померлих","Україна","Місячна","2010-M04","240577"
"Кількість померлих","Україна","Місячна","2010-M05","295889"
"Кількість померлих","Україна","Місячна","2010-M06","352175"
"Кількість померлих","Україна","Місячна","2010-M07","408941"
"Кількість померлих","Україна","Місячна","2010-M08","472077"
"Кількість померлих","Україна","Місячна","2010-M09","525871"
"Кількість померлих","Україна","Місячна","2010-M10","582864"
"Кількість померлих","Україна","Місячна","2010-M11","638389"
"Кількість померлих","Україна","Місячна","2010-M12","698235"
"Кількість померлих","Україна","Місячна","2011-M01","61034"
"Кількість померлих","Україна","Місячна","2011-M02","116360"
"Кількість померлих","Україна","Місячна","2011-M03","179625"
"Кількість померлих","Україна","Місячна","2011-M04","234961"
"Кількість померлих","Україна","Місячна","2011-M05","292756"
"Кількість померлих","Україна","Місячна","2011-M06","344267"
"Кількість померлих","Україна","Місячна","2011-M07","397533"
"Кількість померлих","Україна","Місячна","2011-M08","448878"
"Кількість померлих","Україна","Місячна","2011-M09","498323"
"Кількість померлих","Україна","Місячна","2011-M10","552845"
"Кількість померлих","Україна","Місячна","2011-M11","609569"
"Кількість померлих","Україна","Місячна","2011-M12","664588"
"Кількість померлих","Україна","Місячна","2012-M01","59381"
"Кількість померлих","Україна","Місячна","2012-M02","118738"
"Кількість померлих","Україна","Місячна","2012-M03","176878"
"Кількість померлих","Україна","Місячна","2012-M04","233298"
"Кількість померлих","Україна","Місячна","2012-M05","290076"
"Кількість померлих","Україна","Місячна","2012-M06","340428"
"Кількість померлих","Україна","Місячна","2012-M07","395628"
"Кількість померлих","Україна","Місячна","2012-M08","447690"
"Кількість померлих","Україна","Місячна","2012-M09","495220"
"Кількість померлих","Україна","Місячна","2012-M10","552149"
"Кількість померлих","Україна","Місячна","2012-M11","606633"
"Кількість померлих","Україна","Місячна","2012-M12","663139"
"Кількість померлих","Україна","Місячна","2013-M01","62739"
"Кількість померлих","Україна","Місячна","2013-M02","114391"
"Кількість померлих","Україна","Місячна","2013-M03","171850"
"Кількість померлих","Україна","Місячна","2013-M04","230964"
"Кількість померлих","Україна","Місячна","2013-M05","287555"
"Кількість померлих","Україна","Місячна","2013-M06","335685"
"Кількість померлих","Україна","Місячна","2013-M07","389664"
"Кількість померлих","Україна","Місячна","2013-M08","439755"
"Кількість померлих","Україна","Місячна","2013-M09","490519"
"Кількість померлих","Україна","Місячна","2013-M10","551184"
"Кількість померлих","Україна","Місячна","2013-M11","604313"
"Кількість померлих","Україна","Місячна","2013-M12","662368"
"Кількість померлих","Україна","Місячна","2014-M01","58396"
"Кількість померлих","Україна","Місячна","2014-M02","113522"
"Кількість померлих","Україна","Місячна","2014-M03","170524"
"Кількість померлих","Україна","Місячна","2014-M04","226858"
"Кількість померлих","Україна","Місячна","2014-M05","280847"
"Кількість померлих","Україна","Місячна","2014-M06","324577"
"Кількість померлих","Україна","Місячна","2014-M07","373656"
"Кількість померлих","Україна","Місячна","2014-M08","420049"
"Кількість померлих","Україна","Місячна","2014-M09","469812"
"Кількість померлих","Україна","Місячна","2014-M10","525227"
