Стовпець1;Індекс поточного особистого матеріального становища
31.12.2019;82,8
31.01.2020;76,4
29.02.2020;70,7
31.03.2020;60,1
30.04.2020;52,3
31.05.2020;54,3
30.06.2020;45,8
31.07.2020;48,4
31.08.2020;50,8
30.09.2020;54,8
31.10.2020;46,9
30.11.2020;50,9
31.12.2020;53,3
31.01.2021;48,2
28.02.2021;58,6
31.03.2021;54,8
30.04.2021;55,3
31.05.2021;57,6
30.06.2021;61
31.07.2021;61,2
31.08.2021;63,7
30.09.2021;59,5
31.10.2021;59,7
30.11.2021;54,5
31.12.2021;57,5
31.01.2022;53,3
01.02.2022;58,7
01.03.2022;71,2
01.04.2022;56,9
01.05.2022;37,9
01.06.2022;33,6
01.07.2022;30,7
01.08.2022;30,4
01.09.2022;37
01.10.2022;35,7
01.11.2022;41,1
01.12.2022;35,4
01.01.2023;41,4
01.02.2023;41,8
01.03.2023;43,7
01.04.2023;42,5
01.05.2023;50,2
01.06.2023;47,3
01.07.2023;48,1
01.08.2023;50
01.09.2023;50,9
01.10.2023;52,4
01.11.2023;52,7
01.12.2023;54,2
01.01.2024;49,9
01.02.2024;50,8
01.03.2024;51,9
01.04.2024;51,9
01.05.2024;53,2
01.06.2024;47,2
01.07.2024;49
01.08.2024;49,6
01.09.2024;50,1
01.10.2024;47,7
01.11.2024;47,8
01.12.2024;47,6
01.01.2025;53,5
01.02.2025;46,6
01.03.2025;54,6
01.04.2025;55,7
01.05.2025;54,8
01.06.2025;52,1
01.07.2025;52,1
01.08.2025;57
01.09.2025;54,9
01.10.2025;58,9
01.11.2025;53,3
