Дата;Чисельність населення 
23.11.2015 0:00;2863074
24.11.2015 0:00;2863074
25.11.2015 0:00;2863074
26.11.2015 0:00;2863074
27.11.2015 0:00;2863074
28.11.2015 0:00;2863074
29.11.2015 0:00;2863074
30.11.2015 0:00;2863074
01.12.2015 0:00;2863074
02.12.2015 0:00;2865300
03.12.2015 0:00;2865300
04.12.2015 0:00;2865300
05.12.2015 0:00;2865300
06.12.2015 0:00;2865300
07.12.2015 0:00;2865300
08.12.2015 0:00;2865300
09.12.2015 0:00;2865300
10.12.2015 0:00;2865300
11.12.2015 0:00;2865300
12.12.2015 0:00;2865300
13.12.2015 0:00;2865300
14.12.2015 0:00;2865300
15.12.2015 0:00;2865300
16.12.2015 0:00;2865300
17.12.2015 0:00;2865300
18.12.2015 0:00;2865300
19.12.2015 0:00;2865300
20.12.2015 0:00;2865300
21.12.2015 0:00;2865300
22.12.2015 0:00;2865300
23.12.2015 0:00;2865300
24.12.2015 0:00;2865300
25.12.2015 0:00;2865300
26.12.2015 0:00;2865300
27.12.2015 0:00;2865300
28.12.2015 0:00;2865300
29.12.2015 0:00;2865300
30.12.2015 0:00;2865300
31.12.2015 0:00;2865300
01.01.2016 0:00;2865300
02.01.2016 0:00;2907810
03.01.2016 0:00;2907810
04.01.2016 0:00;2907810
05.01.2016 0:00;2907810
06.01.2016 0:00;2907810
07.01.2016 0:00;2907810
08.01.2016 0:00;2907810
09.01.2016 0:00;2907810
10.01.2016 0:00;2907810
11.01.2016 0:00;2907810
12.01.2016 0:00;2907810
13.01.2016 0:00;2907810
14.01.2016 0:00;2907810
15.01.2016 0:00;2907810
16.01.2016 0:00;2907810
17.01.2016 0:00;2907810
18.01.2016 0:00;2907810
19.01.2016 0:00;2907810
20.01.2016 0:00;2907810
21.01.2016 0:00;2907810
22.01.2016 0:00;2907810
23.01.2016 0:00;2907810
24.01.2016 0:00;2907810
25.01.2016 0:00;2907810
26.01.2016 0:00;2907810
27.01.2016 0:00;2907810
28.01.2016 0:00;2907810
29.01.2016 0:00;2907810
30.01.2016 0:00;2907810
31.01.2016 0:00;2907810
01.02.2016 0:00;2907810
02.02.2016 0:00;2908614
03.02.2016 0:00;2908614
04.02.2016 0:00;2908614
05.02.2016 0:00;2908614
06.02.2016 0:00;2908614
07.02.2016 0:00;2908614
08.02.2016 0:00;2908614
09.02.2016 0:00;2908614
10.02.2016 0:00;2908614
11.02.2016 0:00;2908614
12.02.2016 0:00;2908614
13.02.2016 0:00;2908614
14.02.2016 0:00;2908614
15.02.2016 0:00;2908614
16.02.2016 0:00;2908614
17.02.2016 0:00;2908614
18.02.2016 0:00;2908614
19.02.2016 0:00;2908614
20.02.2016 0:00;2908614
21.02.2016 0:00;2908614
22.02.2016 0:00;2908614
23.02.2016 0:00;2908614
24.02.2016 0:00;2908614
25.02.2016 0:00;2908614
26.02.2016 0:00;2908614
27.02.2016 0:00;2908614
28.02.2016 0:00;2908614
29.02.2016 0:00;2908614
01.03.2016 0:00;2908614
02.03.2016 0:00;2909455
03.03.2016 0:00;2909455
04.03.2016 0:00;2909455
05.03.2016 0:00;2909455
06.03.2016 0:00;2909455
07.03.2016 0:00;2909455
08.03.2016 0:00;2909455
09.03.2016 0:00;2909455
10.03.2016 0:00;2909455
11.03.2016 0:00;2909455
12.03.2016 0:00;2909455
13.03.2016 0:00;2909455
14.03.2016 0:00;2909455
15.03.2016 0:00;2909455
16.03.2016 0:00;2909455
17.03.2016 0:00;2909455
18.03.2016 0:00;2909455
19.03.2016 0:00;2909455
20.03.2016 0:00;2909455
21.03.2016 0:00;2909455
22.03.2016 0:00;2909455
23.03.2016 0:00;2909455
24.03.2016 0:00;2909455
25.03.2016 0:00;2909455
26.03.2016 0:00;2909455
27.03.2016 0:00;2909455
28.03.2016 0:00;2909455
29.03.2016 0:00;2909455
30.03.2016 0:00;2909455
31.03.2016 0:00;2909455
